"","id","age","day","week","cond","base","y","weight_1","weight_2","weight_3"
"1",1,32,"Monday",1,"control",249,248,NA,248,248
"2",1,32,"Wednesday",2,"control",249,250,250,250,250
"3",1,32,"Monday",3,"control",249,255,NA,255,255
"4",1,32,"Wednesday",4,"control",249,252,252,252,252
"5",1,32,"Monday",5,"control",249,255,NA,255,255
"6",1,32,"Wednesday",6,"control",249,251,251,251,251
"7",1,32,"Monday",7,"control",249,251,NA,251,251
"8",1,32,"Wednesday",8,"control",249,251,251,251,251
"9",1,32,"Monday",9,"control",249,244,NA,244,244
"10",1,32,"Wednesday",10,"control",249,244,244,244,244
"11",2,39,"Monday",1,"control",248,250,250,250,250
"12",2,39,"Wednesday",2,"control",248,241,241,241,241
"13",2,39,"Monday",3,"control",248,253,253,253,253
"14",2,39,"Wednesday",4,"control",248,249,249,249,249
"15",2,39,"Monday",5,"control",248,253,253,253,253
"16",2,39,"Wednesday",6,"control",248,245,245,245,245
"17",2,39,"Monday",7,"control",248,250,250,250,250
"18",2,39,"Wednesday",8,"control",248,248,248,248,248
"19",2,39,"Monday",9,"control",248,244,244,244,244
"20",2,39,"Wednesday",10,"control",248,250,250,250,250
"21",3,37,"Monday",1,"control",267,270,270,270,NA
"22",3,37,"Wednesday",2,"control",267,267,267,267,NA
"23",3,37,"Monday",3,"control",267,267,267,267,NA
"24",3,37,"Wednesday",4,"control",267,267,267,267,NA
"25",3,37,"Monday",5,"control",267,267,267,267,NA
"26",3,37,"Wednesday",6,"control",267,270,270,270,NA
"27",3,37,"Monday",7,"control",267,269,269,269,NA
"28",3,37,"Wednesday",8,"control",267,265,265,265,265
"29",3,37,"Monday",9,"control",267,266,266,266,NA
"30",3,37,"Wednesday",10,"control",267,270,270,270,NA
"31",4,39,"Monday",1,"control",246,244,244,244,244
"32",4,39,"Wednesday",2,"control",246,248,248,248,248
"33",4,39,"Monday",3,"control",246,244,244,244,244
"34",4,39,"Wednesday",4,"control",246,244,244,244,244
"35",4,39,"Monday",5,"control",246,242,242,242,242
"36",4,39,"Wednesday",6,"control",246,242,242,242,242
"37",4,39,"Monday",7,"control",246,244,244,244,244
"38",4,39,"Wednesday",8,"control",246,249,249,249,249
"39",4,39,"Monday",9,"control",246,242,242,242,242
"40",4,39,"Wednesday",10,"control",246,240,240,NA,240
"41",5,40,"Monday",1,"control",255,253,253,253,253
"42",5,40,"Wednesday",2,"control",255,258,258,258,258
"43",5,40,"Monday",3,"control",255,253,253,NA,253
"44",5,40,"Wednesday",4,"control",255,253,253,253,253
"45",5,40,"Monday",5,"control",255,254,254,254,254
"46",5,40,"Wednesday",6,"control",255,251,251,251,251
"47",5,40,"Monday",7,"control",255,256,256,256,256
"48",5,40,"Wednesday",8,"control",255,254,254,254,254
"49",5,40,"Monday",9,"control",255,255,255,255,255
